ID,NOME,SIGLA,LOGO
1,American Airlines,AA,https://logodownload.org/wp-content/uploads/2020/03/american-airlines-logo.png
2,Delta Air Lines,DAL,https://logos-world.net/wp-content/uploads/2021/08/Delta-Logo.png
3,United Airlines,UA,https://thenoah.net/wp-content/uploads/2023/06/united-airlines-logo-emblem-png.png
4,Lufthansa,LH,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Lufthansa_Logo_2018.svg/1024px-Lufthansa_Logo_2018.svg.png
5,Air France,AF,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Air_France_Logo.svg/2560px-Air_France_Logo.svg.png
6,Emirates,EK,https://logos-world.net/wp-content/uploads/2020/03/Emirates-Logo.png
7,Qatar Airways,QR,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Qatar_Airways_logo.svg/2560px-Qatar_Airways_logo.svg.png
8,Southwest Airlines,WN,https://logosmarcas.net/wp-content/uploads/2020/11/Southwest-Airlines-Logo-650x366.png
9,Ryanair,FR,https://d1.awsstatic.com/psc-digital/2022/gc-300/modern-apps-overview-page/GC-300_AWS_Modernization_Webpage_Redesign_Module_5_Ryanair_Top_Logo%402x.e44bfafa0f7f4caa48a39f5bd2d182c1f1ec95f8.png
10,Singapore Airlines,SQ,https://cdn.freebiesupply.com/logos/large/2x/singapore-airlines-logo-png-transparent.png
11,GOL Linhas Aéreas,G3,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/LogoGOL-Pref-FundoClaro-RGB.svg/2560px-LogoGOL-Pref-FundoClaro-RGB.svg.png
12,Latam Airlines,LA,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Latam-logo_-v_%28Indigo%29.svg/2670px-Latam-logo_-v_%28Indigo%29.svg.png
13,Azul Linhas Aéreas,AD,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Logo_da_Azul_Linhas_A%C3%A9reas_Brasileiras.svg/2560px-Logo_da_Azul_Linhas_A%C3%A9reas_Brasileiras.svg.png
14,VoePass,2Z,https://upload.wikimedia.org/wikipedia/commons/c/c7/Voepass-pagina.png
15,Passaredo,PI,https://seeklogo.com/images/P/passaredo-logo-4E6DA22528-seeklogo.com.png
